pathogen_term,disease_term,text,Relationship,pathogen_synonyms,disease_synonyms
clostridioides difficile,diarrhea,"Clostridioides difficile is the main causative agent of antibiotic-associated diarrhea. Prompt diagnosis is required for initiation of timely infection control measures and appropriate adjustment of antibiotic treatment. The cobas Cdiff assay for use on the cobas Liat system enables a diagnostic result in 20 minutes. A total of 252 prospective (n = 150) and retrospective (n = 102) stool specimens from The Netherlands, France, and Switzerland were tested on the cobas Cdiff assay using the Xpert C. difficile assay as a reference method. The overall positive and negative percent agreement (PPA and NPA, respectively) of the cobas Cdiff assay compared with the Xpert C. difficile assay was 98.0% (100/102; 95% confidence interval [CI], 93.1% to 99.5%) and 94.0% (141/150; 95% CI, 89.0% to 96.8%), respectively. When comparing the PPAs of cobas Cdiff and Xpert C. difficile with culture, the results were 91.7% (55/60; 95% CI, 81.9% to 96.4%) and 85.0% (51/60; 95% CI, 73.9% to 91.9%), respectively. The difference was not statistically significant. The cobas Cdiff assay offers a very rapid alternative for diagnosing C. difficile infection. The 20-minute turnaround time provides the potential for point-of-care testing so that adequate infection control measures can be initiated promptly.",yes,Clostridioides difficile|Peptoclostridium difficile|Clostridium difficile,diarrhea|diarrhea of presumed infectious origin|diarrhoea
vibrio parahaemolyticus,diarrhea,"Takeaway food services are an emerging business in China and have a potential impact on food safety. An unusual foodborne illness associated with takeaway food delivered through a logistics company on August 27, 2018 is reported. Epidemiological investigations showed that 28 patients from 2 companies were diagnosed with gastroenteritis symptoms. The major symptoms included nausea (24, 85.71%), vomiting (24, 85.71%), diarrhea (22, 78.57%), and abdominal pain (22, 78.75%). Laboratory investigations showed that six Staphylococcus aureus isolates, three Salmonella enteria serovar livingstone isolates, and one Vibrio parahaemolyticus isolate were detected. Six S. aureus isolates were detected from one patient, food, and a food handler, and all six S. aureus isolates had the same pulsed-field gel electrophoresis (PFGE) pattern and multilocus sequence typing (MLST) genotype. Staphylococcal enterotoxin A was detected from food and the six S. aureus isolates. These results confirmed that S. aureus isolates were the major agent causing this foodborne illness. Three Salmonella isolates with the same PFGE pattern and MLST genotype were detected from patients. This was the first time that Salmonella isolates have been identified as causing a foodborne disease outbreak in China. Only one O4:K8 serotype of V. parahaemolyticus with the tdh gene isolate was detected from one patient. These results confirmed that this was an unusual foodborne illness that included an outbreak associated with two different pathogens and a third pathogen sporadic illness. Takeaway services pose a risk to public health because they have the potential to distribute contaminated products over a large geographic area within a short time. Therefore, more attention should be paid to prevent and control foodborne illnesses caused by contaminated food from takeaway services.",no,Vibrio parahaemolyticus|Pasteurella parahaemolytica|Beneckea parahaemolytica|Oceanomonas parahaemolytica,diarrhea|diarrhea of presumed infectious origin|diarrhoea
clostridioides difficile,diarrhea,"BACKGROUND: Most Clostridioides difficile toxinogenic strains produce both toxins A and B (A+B+), but toxin A-negative, toxin B-positive (A-B+) variants also cause disease. We report the identification of a series of pathogenic clinical C. difficile isolates that produce high amounts of toxin A with low or nondetectable toxin B. METHODS: An ultrasensitive, quantitative immunoassay was used to measure toxins A and B in stool samples from 187 C. difficile infection (CDI) patients and 44 carriers. Isolates were cultured and assessed for in vitro toxin production and in vivo phenotypes (mouse CDI model). RESULTS: There were 7 CDI patients and 6 carriers who had stools with detectable toxin A (TcdA, range 23-17 422 pg/mL; 5.6% of samples overall) but toxin B (TcdB) below the clinical detection limit (<20 pg/mL; median TcdA:B ratio 17.93). Concentrations of toxin A far exceeded B in in vitro cultures of all 12 recovered isolates (median TcdA:B ratio 26). Of 8 toxin A>>B isolates tested in mice, 4 caused diarrhea, and 3 of those 4 caused lethal disease. Ribotyping demonstrated strain diversity. TcdA-predominant samples were also identified at 2 other centers, with similar frequencies (7.5% and 6.8%). CONCLUSIONS: We report the discovery of clinical pathogenic C. difficile strains that produce high levels of toxin A but minimal or no toxin B. This pattern of toxin production is not rare (>5% of isolates) and is consistently observed in vitro and in vivo in humans and mice. Our study highlights the significance of toxin A in human CDI pathogenesis and has important implications for CDI diagnosis, treatment, and vaccine development.",yes,Clostridioides difficile|Peptoclostridium difficile|Clostridium difficile,diarrhea|diarrhea of presumed infectious origin|diarrhoea
clostridium difficile,diarrhea,"INTRODUCTION: Clostridium difficile infection (CDI) and nontyphoidal Salmonella infection (NSI) have similar clinical manifestations and are seldom seen simultaneously. The decision-making in terms of antibiotic therapy becomes difficult when both the pathogens are isolated from the same patient. CASE PRESENTATION: We describe a case of Clostridium difficile (CD) enterocolitis in a healthcare provider who concomitantly tested positive for nontyphoidal Salmonella. DISCUSSION: To the best of our knowledge after extensive literature review (English), this is only the fourth report highlighting this association. CONCLUSION: Although Salmonella is not a risk factor for CDI, it can cause intestinal inflammation and alteration in the intestinal flora. When two pathogens are isolated from the same patient, it is tempting to treat both with antibiotics as highlighted. When it involves healthcare workers, there is no difference in guidelines and should not be prescribed antibiotics with intent of reducing secondary transmission.",no,Clostridioides difficile|Clostridium difficile,diarrhea|diarrhea of presumed infectious origin|diarrhoea
entamoeba histolytica,diarrhea,"Amoebiasis, caused by the intestinal protozoan Entamoeba histolytica, though a relatively common parasitic disease in the tropical and subtropical regions, is uncommon in the developed countries. In these countries, as amoebic colitis shares similar clinical symptoms and endoscopic features with inflammatory bowel disease (IBD), these cases can be easily unrecognized and misdiagnosed. In this case report, we discuss the case of an adult patient with invasive intestinal amoebiasis, who was initially managed as Crohn's disease on corticosteroid treatment and subsequently rapidly deteriorated and developed multiple perforations in the colon and ileum. Despite total colectomy followed by resection of the small bowel, he died of multiple organ failure and sepsis within two months of his initial clinical presentation of diarrhea with abdominal pain. The learning point of this case is that invasive intestinal amoebiasis should be considered as a differential diagnosis at the first clinical adult presentation of IBD-like symptoms despite suggestive endoscopic findings of Crohn's like ulcers. Regardless of negative endoscopic biopsies, due to the low sensitivity of microscopic examination, serology test for antibody and molecular test for Entamoeba DNA are recommended for accurate detection and identification of Entamoeba species, especially in the high risk populations with recent travel to endemic zones and for patients with immunosuppression and comorbidities such as diabetes mellitus, tuberculosis, alcoholism, HIV/AIDS and in pregnant women. Amoebiasis should be completely ruled out prior to corticosteroid administration, to avoid severe complications such as fulminant intestinal amoebiasis which is associated with an inherently high mortality.",yes,Entamoeba histolytica,diarrhea|diarrhea of presumed infectious origin|diarrhoea
vibrio parahaemolyticus,diarrhea,"ETHNOPHARMACOLOGICAL RELEVANCE: A Thai herbal formulation 'Ya-Pit-Samut-Noi' containing Nigella sativa (seed), Piper retrofractum (fruit), Punica granatum (pericarp), and Quercus infectoria (nutgall) has long been traditionally used to treat diarrhea or bloody mucous diarrhea. Scientific information is very important to support its therapeutic effects and traditional drug development. AIM OF THE STUDY: This study aimed to evaluate the antibacterial activities of Ya-Pit-Samut-Noi against diarrhea-causing bacteria and determine its effects on bacterial virulence factors and in vivo acute toxicity. MATERIALS AND METHODS: Ethanol and water extracts of Ya-Pit-Samut-Noi and its plant components were prepared. The agar diffusion method was used for preliminary screening of antibacterial activity of the extracts against diarrhea-causing bacteria including Staphylococcus aureus, Vibrio cholerae, and Vibrio parahaemolyticus. The minimal inhibitory concentration (MIC) and minimal bactericidal concentration (MBC) were assessed using broth microdilution method. The effects on bactericidal activity, bacterial cell wall, and cell membrane were examined by time-kill, lysis, and leakage assays, respectively. The effects on bacterial virulence factors including quorum-sensing system, biofilm production, and swarming motility were determined. Phytochemical screening was carried out to identify the group of chemical compounds present in the formulation extracts. Acute toxicity study was conducted by a single oral dose of 2000 mg/kg body weight in Wistar albino rats. RESULTS: Ethanol and water extracts of Ya-Pit-Samut-Noi and Quercus infectoria demonstrated antibacterial efficacy against all bacterial strains as revealed by zones of inhibition ranging from 7.0 to 24.5 mm. The ethanol and water extracts of Ya-Pit-Samut-Noi and Quercus infectoria produced strong bacteriostatic activity against V. parahaemolyticus (n = 11) with an MIC range of 7.81-250 mug/ml. Only the ethanol extract of Ya-Pit-Samut-Noi produced MBC values less than or equal to 1000 mug/ml against all V. parahaemolyticus. Based on time-kill study, no surviving V. parahaemolyticus (ATCC 17802 and 5268) cells were detected within 6-12 h after treatment with the ethanol extract of Ya-Pit-Samut-Noi at MBC-4MBC concentrations. Vibrioparahaemolyticus ATCC 17802 cells treated with the ethanol extract of Ya-Pit-Samut-Noi demonstrated no lysis or leakage through the bacterial membrane was not observed. At low concentrations (0.125-0.25 mug/ml) the ethanol extract of Ya-Pit-Samut-Noi inhibited violacein production by Chromobacterium violaceum DMST 21761 without affecting the bacterial growth. The ethanol (31.25-62.5 mug/ml) and water (31.25-250 mug/ml) extracts of Ya-Pit-Samut-Noi inhibited biofilm production by S. aureus. The ethanol and water extracts of Ya-Pit-Samut-Noi at 1000 mug/ml reduced the swarming motility of Escherichia coli O157: H7 by 74.98% and 52.65%, respectively. Tannins and terpenoids were detected in both the ethanol and water extracts. Flavonoids were present only in the ethanol extract. Alkaloids and antraquinones were not noticed in either extract. In the acute toxicity study, there were no significant changes in hematological and biochemical parameters nor were adverse effects on mortality, general behaviors, body weight, or organ weights detected. CONCLUSIONS: The scientific evidence from this study supported the therapeutic effects and safety of the traditional Thai herbal formulation 'Ya-Pit-Samut-Noi' which has been used as an alternative treatment for gastrointestinal infections in Thailand.",yes,Vibrio parahaemolyticus|Pasteurella parahaemolytica|Beneckea parahaemolytica|Oceanomonas parahaemolytica,diarrhea|diarrhea of presumed infectious origin|diarrhoea
staphylococcus aureus,diarrhoea,"Nosocomial or healthcare-associated infections (HCAIs) are associated with a financial burden that affects both patients and healthcare institutions worldwide. The clinical best care practices (CBPs) of hand hygiene, hygiene and sanitation, screening, and basic and additional precautions aim to reduce this burden. The COVID-19 pandemic has confirmed these four CBPs are critically important prevention practices that limit the spread of HCAIs. This paper conducted a systematic review of economic evaluations related to these four CBPs using a discounting approach. We searched for articles published between 2000 and 2019. We included economic evaluations of infection prevention and control of Clostridioides difficile-associated diarrhoea, meticillin-resistant Staphylococcus aureus, vancomycin-resistant enterococci, and carbapenem-resistant Gram-negative bacilli. Results were analysed with cost-minimization, cost-effectiveness, cost-utility, cost-benefit and cost-consequence analyses. Articles were assessed for quality. A total of 11,898 articles were screened and seven were included. Most studies (4/7) were of overall moderate quality. All studies demonstrated cost effectiveness of CBPs. The average yearly net cost savings from the CBPs ranged from $252,847 (2019 Canadian dollars) to $1,691,823, depending on the rate of discount (3% and 8%). The average incremental benefit cost ratio of CBPs varied from 2.48 to 7.66. In order to make efficient use of resources and maximize health benefits, ongoing research in the economic evaluation of infection control should be carried out to support evidence-based healthcare policy decisions.",no,Staphylococcus aureus|Staphlococcus pyogenes citreus|Staphylococcus aureus subsp. anaerobius|Micrococcus pyogenes|Staphylococcus pyogenes aureus|Micrococcus aureus,diarrhea|diarrhea of presumed infectious origin|diarrhoea
lamina,diarrhea,"Checkpoint inhibitors have improved the survival of patients with advanced tumors and show a manageable toxicity profile. However, auto-immune colitis remains a relevant side effect, and combinations of anti-PD1/PDL1 and anti-CTLA-4 increase its incidence and severity. Here, we report the case of a 50-year-old patient diagnosed with stage IV cervical cancer that relapsed following radical surgery, external radiation/brachytherapy and standard chemotherapy. She was subsequently treated with Nivolumab and Ipilimumab combination and developed grade 2 colitis presenting a dissociation between endoscopic and pathological findings. At cycle 10 the patient reported grade 3 diarrhea and abdominal discomfort, without blood or mucus in the stools. Immunotherapy was withheld and a colonoscopy was performed, showing normal mucosa in the entire colon. Puzzlingly, histologic evaluation of randomly sampled mucosal biopsy of the distal colon showed an intense intraepithelial lymphocyte infiltration with crypt loss and some regenerating crypts with a few apoptotic bodies set in a chronically inflamed lamina propria, consistent with the microscopic diagnosis of colitis. Treatment with methylprednisolone 2 mg/﻿kg was initiated which led to a decrease in the number of stools to grade 1. Additional investigations to exclude other causes of diarrhea rendered negative results. The patient experienced a major partial response and, following the resolution of diarrhea, she was re-challenged again with immunotherapy, with the reappearance of grade 2 diarrhea, leading to permanent immunotherapy interruption. We conclude and propose that performing random colonic biopsies should be considered in cases of immune checkpoint-associated unexplained diarrhea, even when colonoscopy shows macroscopically normal colonic mucosa inflammatory lesions.",no,lamina,diarrhea|diarrhea of presumed infectious origin|diarrhoea
human adenovirus,diarrhea,"BACKGROUND: The pandemic of coronavirus disease 2019 (COVID-19) has become a global public health problem. It is important for clinical physicians to differentiate COVID-19 from other respiratory infectious diseases caused by viruses, such as human adenovirus. SUBJECTS AND METHODS: This was a retrospective observational study. We analyzed and compared the clinical manifestations, laboratory findings and radiological features of two independent cohorts of patients diagnosed with either COVID-19 (n=36) or adenovirus pneumonia (n=18). RESULTS: COVID-19 did not show a preference in males or females, whereas 94.4% of patients with adenovirus pneumonia were males. Fever and cough were common in both COVID-19 and adenovirus pneumonia. But the median maximal body temperature of the adenovirus pneumonia cohort was significantly higher than in COVID-19 (P<0.001). Furthermore, 77.8% of patients with adenovirus pneumonia had a productive cough versus only 13.9% of COVID-19 patients (P<0.001). Compared with adenovirus pneumonia, constitutional symptoms were less common in COVID-19, including headache (16.7% vs 38.9%, P=0.072), sore throat (8.3% vs 27.8%, P=0.058), myalgia (8.3% vs 61.1%, P<0.001) and diarrhea (8.3% vs 44.4%, P=0.002). Furthermore, patients with COVID-19 were less likely to develop respiratory failure (8.3% vs 83.3%, P<0.001) and showed less prominent laboratory abnormalities, including lymphocytopenia (61.1% vs 88.9%, P=0.035), thrombocytopenia (2.8% vs 61.1%, P<0.001), elevated procalcitonin (2.8% vs 77.8%, P<0.001) and elevated C-reactive protein (36.1% vs 100%, P<0.001). Besides, a higher percentage of patients with adenovirus pneumonia showed elevated transaminase, myocardial enzymes, creatinine and D-dimer compared with COVID-19 patients. On chest CT, the COVID-19 cohort was characterized by peripherally distributed ground-glass opacity and patchy shadowing, while the adenovirus pneumonia cohort frequently presented with consolidation and pleural effusion. CONCLUSION: There were many differences between patients diagnosed with COVID-19 and those with adenovirus pneumonia in their clinical, laboratory and radiological characteristics. Compared with adenovirus pneumonia, COVID-19 patients tended to show a lower severity of illness.",yes,Human adenovirus sp.|Human adenovirus,diarrhea|diarrhea of presumed infectious origin|diarrhoea
adenovirus,diarrhea,"Objective: To understand the epidemiological characteristics and clinical features of rotavirus-, norovirus-, adenovirus-and astrovirus-associ ated acute gastroenteritis in children under 5 years old in Beijing from Octorber, 2015 to March, 2017. Methods: In the intestinal clinic of 6 hospitals in 6 districts of Beijing, information and stool samples of the first 30 patients with acute gastroenteritis who are under the age of 5 years are collected monthly.Rotavirus, norovirus, adenovirus and astrovirus are identified by PCR.Descriptive epidemiological method was used to describe the epidemiological characteristics of diarrhea caused by rotavirus, norovirus, adenovirus and astrovirus in Beijing. One-way analysis of variance was used to analyze the Vesikari clinical severity score of of acute gastroenteritis caused by each virus. Unconditional logistic regression analysis was used to analysis the associated factors of clinical features. Results: Of the 2 052 samples, 709 (34.6%) were non-mixed infections: the positive rate of rotavirus, norovirus, adenovirus and astrovirus were 20.0%, 7.5%, 4.2% and 2.9%, respectively. A total of 135 cases (6.6%) were mixed infection. The mean and standard deviation of Vesikari clinical severity score was 8.0+/-3.1 for rotavirus associated acute gastroenteritis, which was significantly higher than norovirus (6.4+/-2.4, P<0.001), adenovirus (6.2+/-2.1, P<0.001) and astrovirus (6.1+/-2.0, P<0.001). The comparison of clinical features showed that compared with astrovirus, the children under 5 years old infected with rotavirus were more likely to have a diarrhea >/=5 days (OR=3.334), have vomiting >/=3 times within one day (OR=8.788), have vomiting>/=1 day (OR=3.963), have a Vesikari clinical severity score >/=11 severe cases (OR=13.194). Norovirus infected cases were prone to have vomiting>/=3 times in 1 day (OR=5.710).Adenovirus infected cases were prone to have a diarrhea>/=5 days (OR=2.616). When using rotavirus as a reference, children under 5 years of age were less likely to develop fever>/=38.4 ℃ after infection with norovirus (OR=0.397) or adenovirus (OR=0.280). Conclusions: The results of this study showed that the characteristics of acute gastroenteritis caused by different viruses are different. The clinical symptoms caused by rotavirus are more serious. Children under 24 months of age are at high risk of rotavirus infection. Effective preventive measures such as vaccination should be taken as soon as possible.",yes,adenovirus,diarrhea|diarrhea of presumed infectious origin|diarrhoea
strongyloides stercoralis,diarrhea,"BACKGROUND: Infection with intestinal parasites is widespread worldwide, especially in developing countries. Intestinal parasites are known as one of the leading causes of diarrhea in both immunocompetent and immunocompromised subjects, but cancer patients are highly susceptible to contamination, and it can be deadly for them. This study aimed to estimate the prevalence of intestinal parasites in immunocompromised patients in Ahvaz. Material and Methods. In this descriptive cross-sectional pilot case-control study, fecal samples were collected from 52 children with malignancies hospitalized in Baqaei2 hospital in Ahvaz. A questionnaire including demographic information, type of cancer, type of gastrointestinal symptoms, and laboratory diagnosis was completed for each patient. The collected specimens were examined by direct smear, Logul staining, and concentration. RESULT: The 52 stool samples were collected, 46% were female and 54% male. The age range of children enrolled in the study was from 4 months to 16 years. Of these stool samples, 38.38% were infected with a variety of parasitic intestinal infections (helminths and protozoa). In this study, protozoan parasites, Blastocystis (23%), Chilomastix mesnili (1.92%), Endolimax nana (7.7%), and Entamoeba coli (1.92%), and helminth infection, Strongyloides stercoralis (3.84%), were observed and statistical analysis showed that there was a significant relationship between gastrointestinal symptoms and parasitic infection in children with cancer. CONCLUSION: Blastocystis and Endolimax nana are the most prevalent gastrointestinal parasitic protozoans that infect individuals admitted to Baqaei2 Hospital of Ahvaz, Iran. Since parasitic intestinal infections in immunocompromised patients lead to fatal diarrhea, children with parasitic infections must be carefully identified and treated.",yes,Strongyloides stercoralis|Anguillula stercoralis,diarrhea|diarrhea of presumed infectious origin|diarrhoea
human adenovirus,diarrhea,"Human adenovirus (HAdV) types F40 and F41 are a prominent cause of diarrhea and diarrhea-associated mortality in young children worldwide. These enteric HAdVs differ notably in tissue tropism and pathogenicity from respiratory and ocular adenoviruses, but the structural basis for this divergence has been unknown. Here, we present the first structure of an enteric HAdV-HAdV-F41-determined by cryo-electron microscopy to a resolution of 3.8 A. The structure reveals extensive alterations to the virion exterior as compared to nonenteric HAdVs, including a unique arrangement of capsid protein IX. The structure also provides new insights into conserved aspects of HAdV architecture such as a proposed location of core protein V, which links the viral DNA to the capsid, and assembly-induced conformational changes in the penton base protein. Our findings provide the structural basis for adaptation of enteric HAdVs to a fundamentally different tissue tropism.",yes,Human adenovirus sp.|Human adenovirus,diarrhea|diarrhea of presumed infectious origin|diarrhoea
helicobacter pylori,diarrhea,"Helicobacter pylori (Hp) eradication therapy alters gut microbiota, provoking gastrointestinal (GI) symptoms that could be improved by probiotics. The study aim was to assess the effect in Hp patients of a Test fermented milk containing yogurt and Lacticaseibacillus (L. paracasei CNCM I-1518 and I-3689, L. rhamnosus CNCM I-3690) strains on antibiotic associated diarrhea (AAD) (primary aim), GI-symptoms, gut microbiota, and metabolites. A randomised, double-blind, controlled trial was performed on 136 adults under 14-day Hp treatment, receiving the Test or Control product for 28 days. AAD and GI-symptoms were reported and feces analysed for relative and quantitative gut microbiome composition, short chain fatty acids (SCFA), and calprotectin concentrations, and viability of ingested strains. No effect of Test product was observed on AAD or GI-symptoms. Hp treatment induced a significant alteration in bacterial and fungal composition, a decrease of bacterial count and alpha-diversity, an increase of Candida and calprotectin, and a decrease of SCFA concentrations. Following Hp treatment, in the Test as compared to Control group, intra-subject beta-diversity distance from baseline was lower (p(adj) = 0.02), some Enterobacteriaceae, including Escherichia-Shigella (p(adj) = 0.0082) and Klebsiella (p(adj) = 0.013), were less abundant, and concentrations of major SCFA (p = 0.035) and valerate (p = 0.045) were higher. Viable Lacticaseibacillus strains were detected during product consumption in feces. Results suggest that, in patients under Hp treatment, the consumption of a multi-strain fermented milk can induce a modest but significant faster recovery of the microbiota composition (beta-diversity) and of SCFA production and limit the increase of potentially pathogenic bacteria.",no,Helicobacter pylori|Campylobacter pylori subsp. pylori|Campylobacter pyloridis|Campylobacter pylori|Helicobacter nemestrinae,diarrhea|diarrhea of presumed infectious origin|diarrhoea
campylobacter jejuni,diarrhea,"Campylobacter is the most common cause of bacterial infectious diarrhea and acute gastroenteritis globally, and is recognized as a significant zoonotic pathogen. Antimicrobial resistance amongst Campylobacter isolates is a significant global concern. A cross-sectional study was conducted to identify and characterize Campylobacter species in humans, animals and water sources in livestock owning households of peri-urban Addis Ababa, Ethiopia; and to characterize antimicrobial resistance. A total of 519 fecal samples from humans (n = 99), livestock (n = 179), poultry (n = 69), and water (n = 172) were collected. Samples were cultured for viable Campylobacter spp. and multiplex PCR utilized for the identification and confirmation. Antimicrobial susceptibility of the isolates was assessed using the Kirby-Bauer disc diffusion method. Campylobacter spp. was detected in 67/519 (13.0%) of the total tested samples, and the household level prevalence of Campylobacter was 42.4%. The prevalence of Campylobacter spp. was: humans (10.1%), cattle (18.5%), poultry (13.0%), sheep (13.3%), goats (7.1%), and water (10.5%). Campylobacter jejuni and C. fetus were the most frequently isolated species, followed by C. coli. The majority of isolates obtained from human samples had co-occurrence with isolates from cattle, poultry or water samples from the same household. The use of stored water, the practice of indoor and outdoor manure collecting, and animal species Campylobacter positivity were significantly associated with greater odds of human Campylobacter spp. positivity. All Campylobacter isolates from humans, poultry, sheep, goats and water, and 96.0% of isolates from cattle were resistant to at least one or more of the tested antimicrobials, with 95.5% of isolates resistant to three or more classes of antimicrobials. A One Health approach is recommended to further investigate Campylobacter species infections, and other zoonotic infectious diseases, in the livestock owning populations in Ethiopia, where there is close interaction between humans, animals and the environment.",yes,Campylobacter jejuni|Campylobacter fetus subsp. jejuni|Vibrio jejuni|Vibrio hepaticus,diarrhea|diarrhea of presumed infectious origin|diarrhoea
ebola virus,diarrhea,"BACKGROUND: Empiric antimalarial treatment is a component of protocol-based management of Ebola virus disease (EVD), yet this approach has limited clinical evidence for patient-centered benefits. METHODS: This retrospective cohort study evaluated the association between antimalarial treatment and mortality among patients with confirmed EVD. The data was collected from five International Medical Corps operated Ebola Treatment Units (ETUs) in Sierra Leone and Liberia from 2014 through 2015. The standardized protocol used for patient care included empiric oral treatment with combination artemether and lumefantrine, twice daily for three days; however, only a subset of patients received treatment due to resource variability. The outcome of interest was mortality, comparing patients treated with oral antimalarials within 48-h of admission to those not treated. Analysis was conducted with logistic regression to generate adjusted odds ratios (aORs). Multivariable analyses controlled for ETU country, malaria rapid diagnostic test result, age, EVD cycle threshold value, symptoms of bleeding, diarrhea, dysphagia and dyspnea, and additional standard clinical treatments. RESULTS: Among the 424 cases analyzed, 376 (88.7%) received early oral antimalarials. Across all cases, mortality occurred in 57.5% (244). In comparing unadjusted mortality prevalence, early antimalarial treated cases yielded 55.1% mortality versus 77.1% mortality for those untreated (p = 0.005). Multivariable analysis demonstrated evidence of reduced aOR for mortality with early oral antimalarial treatment versus non-treatment (aOR = 0.34, 95% Confidence Interval: 0.12, 0.92, p = 0.039). CONCLUSION: Early oral antimalarial treatment in an EVD outbreak was associated with reduced mortality. Further study is warranted to investigate this association between early oral antimalarial treatment and mortality in EVD patients.",no,Orthoebolavirus taiense|Ebola virus,diarrhea|diarrhea of presumed infectious origin|diarrhoea
brachyspira,diarrhea,"Human colonic spirochetosis (CS) is usually due toBrachyspira pilosicolior Brachyspira aalborgiinfection. While traditionally considered to be commensal bacteria, there are scattered case reports and case series of gastrointestinal (GI) symptoms in CS and reports of colonic polyps with adherent spirochetes. We performed a systematic review and meta-analysis investigating the association between CS and GI symptoms and conditions including the irritable bowel syndrome (IBS) and colonic polyps. Following PRISMA 2020 guidelines, a systematic search of Medline, CINAHL, EMBASE, and Web of Science was performed using specific keywords for CS and GI disease. Pooled odds ratios (ORs) and 95% confidence intervals (CIs) were calculated using a random-effects model. Of 75 studies identified in the search, 8 case-control studies met the inclusion criteria for meta-analysis and 67 case series studies met the inclusion criteria for pooled prevalence analysis. CS was significantly associated with diarrhea (n = 141/127, cases/controls, OR: 4.19, 95% CI: 1.72-10.21, P = 0.002) and abdominal pain (n = 64/65, OR: 3.66, 95% CI: 1.43-9.35, P = 0.007). CS cases were significantly more likely to have Rome III-diagnosed IBS (n = 79/48, OR: 3.84, 95% CI: 1.44-10.20, P = 0.007), but not colonic polyps (n = 127/843, OR: 8.78, 95% CI: 0.75-103.36, P = 0.084). In conclusion, we found evidence of associations between CS and both diarrhea and IBS, but not colonic polyps. CS is likely underestimated due to suboptimal diagnostic methods and may be an overlooked risk factor for a subset of IBS patients with diarrhea.",yes,Brachyspira|Serpula|Serpulina,diarrhea|diarrhea of presumed infectious origin|diarrhoea
bacillus cereus,diarrhoea,"OBJECTIVE: On 6 October 2019, Petaling District Health Office received notification of a possible foodborne outbreak involving a mass gathering event. This report presents the processes of diagnosis verification, case identification, determination of associated risk factors and commencement of control measures in managing the outbreak. METHODS: Cases were defined as those who attended the mass gathering event on 6 October 2019, consumed the pre-packaged food and subsequently developed vomiting, abdominal pain, diarrhoea or other symptoms (e.g. fever, nausea and dizziness). Epidemiological, environmental and laboratory investigations were performed. Data were analysed using SPSS software (version 24.0). RESULTS: A total of 169 cases were identified. The attack rate was 7.2%, and cases ranged in age from 7 to 50 years, with a median of 20 years. A total of 156 (92.3%) cases had vomiting, 137 (81.1%) had abdominal pain and 83 (49.1%) had diarrhoea. Consuming nasi lemak at the mass gathering was found to be significantly associated with developing illness (odds ratio: 9.90, 95% confidence interval: 6.46-15.16). The samples from suspected food, food handlers and the environment were positive for Bacillus cereus, Staphylococcus aureus or coliforms. DISCUSSION: The outbreak at this mass gathering was probably caused by food contaminated with B. cereus and S. aureus. To prevent future outbreaks, we recommend mass gathering events use certified catering services that have adequate food safety training.",yes,Bacillus cereus|Bacillus medusa|Bacillus endorhythmos|Bacillus cereus Frankland and Frankland 1887,diarrhea|diarrhea of presumed infectious origin|diarrhoea
candida utilis,diarrhea,"A red yeast isolated from orange and grape soil and identified by the 26S rDNA sequence analysis revealed that it was Rhodotorula mucilaginosa and named TZR(2014). Its biomass and carotenoid production reached a maximum when using the fermentation medium with pH 6.0, containing 5% glucose, 1% peptone, and 1.5% yeast powder. TZR(2014) was resistant to 55 degrees C for 15 min, 0.2% pig bile salts for 4 h, and artificial gastric and intestinal fluids. A total of thirty 28-day weaned pigs were divided into three groups, and the piglets were fed a basal diet (CON), a basal diet and orally administered 1 ml 1.0 x 10(10) CFU/ml Candida utilis DSM 2361 three times (C. utilis), or a basal diet and orally administered 1 ml 1.0 x 10(10) CFU/mL TZR(2014) three times daily (R. mucilaginosa) for 4 weeks. Compared with the piglets in the CON group, those in the C. utilis or R. mucilaginosa group reported an increased average daily weight gain and average daily feed intake (P < 0.05) and a decreased feed/gain (P < 0.05). The diarrhea rate of piglets in the R. mucilaginosa group was lower than that in the CON and C. utilis groups (P < 0.05). Compared with that in the CON and C. utilis groups, the R. mucilaginosa group reported an increased ileum villus height (P < 0.05), serum concentration of total antioxidant content, total superoxide dismutase, and glutathione peroxidase and pepsin and lipase activities in the intestinal content, while it reported a decreased serum concentration of malondialdehyde and pH of the intestinal tract (P < 0.05). The relative abundances of Proteobacteria and Megasphaera of caecum in the R. mucilaginosa group were lower than those in the CON and C. utilis groups (P < 0.05). The relative abundances of Prevotella, Ruminococcaceae, Succinivibrio, Rikenellaceae RC9 gut group, and Roseburia of caecum in the R. mucilaginosa group were higher than those in the CON and C. utilis groups (P < 0.05). R. mucilaginosa TZR(2014) can produce carotenoids and adapts to the animal's gastrointestinal environment. Oral R. mucilaginosa TZR(2014) improved growth performance, enhanced antioxidant capacity, strengthened gastrointestinal digestion, and maintained the intestinal microbiological balance of piglets.",no,Cyberlindnera jadinii|Candida utilis,diarrhea|diarrhea of presumed infectious origin|diarrhoea
